City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,22.47,74,76,11.3,PN,1713787306
1,yellowknife,62.456,-114.3525,-0.8,98,82,1.34,CA,1713787307
2,kerikeri,-35.2268,173.9474,11.06,90,1,2.25,NZ,1713787261
3,kazanskoye,55.6448,69.235,16.48,36,54,4.5,RU,1713787311
4,chifeng,42.2683,118.9636,13.14,38,83,1.77,CN,1713787312
5,port-aux-francais,-49.35,70.2167,5.46,82,14,11.07,TF,1713787314
6,solleftea,63.1667,17.2667,1.92,76,87,2.5,SE,1713787315
7,hami,42.8,93.45,22.93,11,1,1.18,CN,1713787317
8,tianpeng,30.9866,103.9393,19.48,67,43,1.9,CN,1713787318
9,koesan,36.8108,127.7947,12.16,76,33,2.18,KR,1713787320
10,kodiak,57.79,-152.4072,2.72,89,89,1.26,US,1713787322
11,fayroz koh,34.5195,65.2509,17.06,19,14,5.38,AF,1713787323
12,waitangi,-43.9535,-176.5597,9.34,78,47,2.68,NZ,1713787325
13,khandyga,62.6667,135.6,-2.21,95,33,1.02,RU,1713787326
14,blackmans bay,-43.0167,147.3167,13.07,87,100,0.45,AU,1713787328
15,happy valley-goose bay,53.3168,-60.3315,3.92,69,100,2.93,CA,1713787330
16,hawaiian paradise park,19.5933,-154.9731,20.73,97,100,1.54,US,1713787331
17,puerto ayora,-0.7393,-90.3518,23.91,94,71,3.18,EC,1713787333
18,port elizabeth,-33.918,25.5701,23.94,70,24,8.4,ZA,1713787334
19,longyearbyen,78.2186,15.6401,3.91,65,40,4.12,SJ,1713787336
20,palmer,42.1584,-72.3287,6.78,64,16,1.34,US,1713787337
21,nova sintra,14.8667,-24.7167,19.74,69,82,6.02,CV,1713787341
22,invercargill,-46.4,168.35,8.9,82,35,1.79,NZ,1713787212
23,vilyuchinsk,52.9306,158.4028,2.74,81,22,2.76,RU,1713787344
24,mariana,-20.3778,-43.4161,23.27,69,1,0.82,BR,1713787345
25,anadyr,64.75,177.4833,-9.72,66,0,0.0,RU,1713787347
26,hinatuan,8.3722,126.3342,26.93,85,54,2.35,PH,1713787349
27,jamestown,42.097,-79.2353,3.9,79,0,2.57,US,1713787351
28,buta,2.7858,24.73,39.56,24,60,0.67,CD,1713787352
29,pakse,15.1167,105.7833,34.33,28,6,2.1,LA,1713787354
30,muriti,-1.9833,32.9167,25.2,68,67,3.52,TZ,1713787355
31,parauapebas,-6.0675,-49.9022,24.38,96,100,0.61,BR,1713787357
32,ribeira grande,38.5167,-28.7,18.21,77,75,4.02,PT,1713787358
33,stanley,54.868,-1.6985,7.5,94,75,2.06,GB,1713787360
34,east london,-33.0153,27.9116,25.63,78,82,6.56,ZA,1713787362
35,xai-xai,-25.0519,33.6442,31.63,38,2,4.35,MZ,1713787363
36,nouadhibou,20.931,-17.0347,26.99,39,0,8.23,MR,1713787365
37,howrah,22.5892,88.3103,39.0,24,20,2.57,IN,1713787083
38,ceerigaabo,10.6162,47.368,21.7,64,100,0.71,SO,1713787368
39,mildura,-34.2,142.15,17.6,30,1,2.32,AU,1713787165
40,arraias,-12.9288,-46.9437,24.43,65,46,3.33,BR,1713787371
41,walvis bay,-22.9575,14.5053,25.37,44,2,9.19,NA,1713787372
42,linden,6.0,-58.3,28.87,68,89,1.32,GY,1713787374
43,bilibino,68.0546,166.4372,-18.31,93,32,1.87,RU,1713787375
44,udachny,66.4167,112.4,1.92,100,100,0.79,RU,1713787377
45,sinabang,2.4803,96.3801,28.32,82,99,2.57,ID,1713787379
46,dunedin,-45.8742,170.5036,9.33,77,20,1.34,NZ,1713787128
47,georgetown,5.4112,100.3354,30.96,70,20,1.54,MY,1713787382
48,una,20.8167,71.0333,33.42,36,55,7.79,IN,1713787383
49,petushki,55.9264,39.461,17.12,52,72,6.58,RU,1713787385
50,port blair,11.6667,92.75,31.02,70,20,2.57,IN,1713787386
51,santiago de cuba,20.0247,-75.8219,24.14,85,9,0.26,CU,1713787388
52,sarandi del yi,-33.35,-55.6333,17.57,96,100,2.38,UY,1713787390
53,port mathurin,-19.6833,63.4167,26.94,81,56,6.73,MU,1713787392
54,bredasdorp,-34.5322,20.0403,24.3,48,7,4.61,ZA,1713787394
55,ketchikan,55.3422,-131.6461,4.08,92,45,1.91,US,1713787395
56,north bay,46.3168,-79.4663,-1.54,65,6,1.8,CA,1713787397
57,kovdor,67.5662,30.4758,-4.78,80,100,3.9,RU,1713787398
58,albany,42.6001,-73.9662,5.23,64,8,1.34,US,1713787400
59,aioun,16.6614,-9.6149,37.92,8,19,2.2,MR,1713787401
60,keflavik,64.0049,-22.5624,8.24,71,20,0.0,IS,1713787403
61,margaret river,-33.95,115.0667,15.11,53,17,6.05,AU,1713787405
62,tazovsky,67.4667,78.7,-10.34,94,100,2.63,RU,1713787406
63,atafu village,-8.5421,-172.5159,29.49,74,27,2.81,TK,1713787408
64,sungai penuh,-2.0833,101.3833,20.65,99,99,0.48,ID,1713787409
65,hammerfest,70.6634,23.6821,-2.75,59,20,4.12,NO,1713787413
66,college,64.8569,-147.8028,1.22,68,79,0.36,US,1713787415
67,colonia,50.9333,6.95,11.01,53,0,2.57,DE,1713787417
68,aspen,39.1911,-106.8175,6.04,52,75,2.57,US,1713787422
69,ushuaia,-54.8,-68.3,0.69,97,100,2.85,AR,1713787425
70,armavir,44.9892,41.1234,19.85,44,82,3.75,RU,1713787427
71,iqaluit,63.7506,-68.5145,-17.39,70,42,0.89,CA,1713787208
72,grytviken,-54.2811,-36.5092,0.29,77,52,13.14,GS,1713787430
73,klyuchi,52.2667,79.1667,16.24,26,15,7.08,RU,1713787432
74,arraial do cabo,-22.9661,-42.0278,26.92,57,0,3.6,BR,1713787433
75,basco,20.4487,121.9702,28.37,75,5,6.15,PH,1713787435
76,west island,-12.1568,96.8225,27.99,83,75,7.2,CC,1713787436
77,edinburgh of the seven seas,-37.0676,-12.3116,16.75,84,48,6.11,SH,1713787438
78,bethel,41.3712,-73.414,7.2,62,0,1.54,US,1713787439
79,mpanda,-6.3655,31.0409,25.69,72,58,2.02,TZ,1713787441
80,chamical,-30.36,-66.314,20.19,67,81,2.22,AR,1713787443
81,ancud,-41.8697,-73.8203,7.74,93,100,1.12,CL,1713787444
